'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.058598967698904186
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05744220813115438
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.059077868094811074
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.0547067125638326
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.0511995792388916
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.053831567764282225
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06260194778442382
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.056727091471354164
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05612972930625633
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.048709594286405124
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05234460477475767
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05809398492177328
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.051314505663785065
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.047027647495269775
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05632839202880859
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05982870322007399
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05925530195236206
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05139358227069561
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05726316452026367
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06861494137690617
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.059961676597595215
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05108248802923387
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.058861033121744795
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.053192853927612305
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06002190907796224
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.06706129350969868
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.054492913759671725
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05200989544391632
'service_type': GoogleHangout_VoIP, 'src_ip': 10.0.0.3, 'dst_ip': 10.0.0.17, 'response_time': 0.05687423547108968
