'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.055420517921447754
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05969681268856849
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.056372286306845175
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.053278973277326655
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05336284975818151
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05723342962667976
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05261107291328758
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05868469938434668
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.0532702528982846
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05327072177193993
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.0532368397068333
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05203820273514193
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.052069127299379576
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.051962774124503695
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.058496133299045856
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.053740841082199585
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.054445754952805035
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.054336484357373004
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05751177607355891
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05356075158293959
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05347122922214358
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.0516246455376137
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.052899207222312894
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05481318471835286
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05368728564460937
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.05295296404937798
'service_type': FileTransfer, 'src_ip': 10.0.0.1, 'dst_ip': 10.0.0.11, 'response_time': 0.048250758454606336
