of:0000000000000003------>of:0000000000000002                 =1.84333319769
of:0000000000000003------>of:0000000000000009                 =1.52833319874
of:0000000000000003------>00:00:00:00:00:03                 =1
of:0000000000000004------>of:0000000000000005                 =0.52499986875
of:0000000000000004------>of:0000000000000001                 =2.06499986362
of:0000000000000004------>00:00:00:00:00:04                 =1
of:0000000000000001------>of:0000000000000004                 =1.60999986513
of:0000000000000001------>of:0000000000000002                 =2.58999986187
of:0000000000000001------>00:00:00:00:00:01                 =1
of:0000000000000002------>of:0000000000000003                 =2.14666653001
of:0000000000000002------>of:0000000000000001                 =1.21803232179
of:0000000000000002------>00:00:00:00:00:02                 =1
of:0000000000000008------>of:0000000000000009                 =0.618333331272
of:0000000000000008------>of:000000000000000a                 =1
of:0000000000000005------>of:0000000000000004                 =1.78499999405
of:0000000000000005------>of:0000000000000006                 =1
of:0000000000000009------>of:0000000000000003                 =1.2599998663
of:0000000000000009------>of:0000000000000008                 =1.17833319991
of:0000000000000009------>00:00:00:00:00:09                 =1
of:000000000000000c------>of:000000000000000f                 =2.11143732385
of:000000000000000c------>of:000000000000000d                 =3.38333319256
of:000000000000000c------>00:00:00:00:00:12                 =1
of:000000000000000d------>of:000000000000000e                 =1.03833320037
of:000000000000000d------>of:000000000000000c                 =1.97110237445
of:000000000000000d------>00:00:00:00:00:13                 =1
of:000000000000000a------>of:0000000000000008                 =1
of:000000000000000a------>of:0000000000000007                 =0.968333200606
of:000000000000000a------>of:000000000000000b                 =0.746666534678
of:000000000000001c------>of:0000000000000007                 =0.836313161052
of:000000000000001c------>of:0000000000000006                 =0.548333331506
of:000000000000001c------>00:00:00:00:00:28                 =1
of:000000000000000b------>of:000000000000000f                 =1.90166666033
of:000000000000000b------>of:000000000000000a                 =0.688333331039
of:000000000000000b------>00:00:00:00:00:11                 =1
of:000000000000000e------>of:0000000000000015                 =1
of:000000000000000e------>of:0000000000000006                 =0.52499999825
of:000000000000000e------>of:000000000000000d                 =2.35614665515
of:000000000000000f------>of:0000000000000010                 =1
of:000000000000000f------>of:000000000000000c                 =1.72666653141
of:000000000000000f------>of:000000000000000b                 =2.46166652896
of:0000000000000007------>of:000000000000001c                 =1.13166653339
of:0000000000000007------>of:000000000000000a                 =1.47772209968
of:0000000000000007------>00:00:00:00:00:07                 =1
of:0000000000000006------>of:0000000000000005                 =1
of:0000000000000006------>of:000000000000000e                 =0.408333331972
of:0000000000000006------>of:000000000000001c                 =0.781666664061
of:0000000000000010------>of:000000000000000f                 =1
of:0000000000000010------>of:0000000000000011                 =0.653333331156
of:0000000000000011------>of:0000000000000012                 =1.18999986653
of:0000000000000011------>of:0000000000000010                 =1.10833332964
of:0000000000000011------>00:00:00:00:00:17                 =1
of:0000000000000014------>of:000000000000001a                 =1
of:0000000000000014------>of:0000000000000013                 =0.396666665344
of:0000000000000012------>of:0000000000000013                 =2.64833319501
of:0000000000000012------>of:0000000000000011                 =1.21333319979
of:0000000000000012------>00:00:00:00:00:18                 =1
of:0000000000000013------>of:0000000000000012                 =1.85499986432
of:0000000000000013------>of:0000000000000014                 =1.43499986572
of:0000000000000013------>00:00:00:00:00:19                 =1
of:000000000000001a------>of:0000000000000014                 =1
of:000000000000001a------>of:000000000000001b                 =0.0
of:000000000000001a------>of:0000000000000019                 =0.0583333331389
of:000000000000001b------>of:000000000000001a                 =0.0
of:000000000000001b------>of:0000000000000016                 =0.52499986875
of:000000000000001b------>00:00:00:00:00:27                 =1
of:0000000000000015------>of:000000000000000e                 =1
of:0000000000000015------>of:0000000000000016                 =0.0
of:0000000000000018------>of:0000000000000017                 =0.221666665928
of:0000000000000018------>of:0000000000000019                 =0.454999998483
of:0000000000000018------>00:00:00:00:00:24                 =1
of:0000000000000019------>of:0000000000000018                 =0.128333332906
of:0000000000000019------>of:000000000000001a                 =0.0
of:0000000000000019------>00:00:00:00:00:25                 =1
of:0000000000000016------>of:0000000000000017                 =0.583333201889
of:0000000000000016------>of:0000000000000015                 =0.0
of:0000000000000016------>of:000000000000001b                 =0.559999868633
of:0000000000000016------>00:00:00:00:00:22                 =1
of:0000000000000017------>of:0000000000000018                 =0.0
of:0000000000000017------>of:0000000000000016                 =1.34166613463
of:0000000000000017------>00:00:00:00:00:23                 =1
00:00:00:00:00:03------>of:0000000000000003                 =1
00:00:00:00:00:04------>of:0000000000000004                 =1
00:00:00:00:00:01------>of:0000000000000001                 =1
00:00:00:00:00:02------>of:0000000000000002                 =1
00:00:00:00:00:09------>of:0000000000000009                 =1
00:00:00:00:00:12------>of:000000000000000c                 =1
00:00:00:00:00:11------>of:000000000000000b                 =1
00:00:00:00:00:07------>of:0000000000000007                 =1
00:00:00:00:00:13------>of:000000000000000d                 =1
00:00:00:00:00:28------>of:000000000000001c                 =1
00:00:00:00:00:19------>of:0000000000000013                 =1
00:00:00:00:00:18------>of:0000000000000012                 =1
00:00:00:00:00:17------>of:0000000000000011                 =1
00:00:00:00:00:27------>of:000000000000001b                 =1
00:00:00:00:00:24------>of:0000000000000018                 =1
00:00:00:00:00:25------>of:0000000000000019                 =1
00:00:00:00:00:23------>of:0000000000000017                 =1
00:00:00:00:00:22------>of:0000000000000016                 =1
++++++++++++++++++++++++++++++++++++++++++++
