{'ping': '7', 'upload': 922.66708, 'download': 1518.78545, 'respone_time': 2817536, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 724.69649, 'download': 2203.31925, 'respone_time': 2525440, 'server_ip': '10.0.0.3'}
{'ping': '7', 'upload': 854.11627, 'download': 1533.94546, 'respone_time': 2684416, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 862.19648, 'download': 1627.53864, 'respone_time': 2565120, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 860.47669, 'download': 1594.35668, 'respone_time': 2815744, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 760.50053, 'download': 1604.15943, 'respone_time': 2636288, 'server_ip': '10.0.0.3'}
{'ping': '10', 'upload': 788.75334, 'download': 1498.45772, 'respone_time': 2719744, 'server_ip': '10.0.0.3'}
{'ping': '12', 'upload': 873.39214, 'download': 1477.45045, 'respone_time': 2874112, 'server_ip': '10.0.0.3'}
{'ping': '9', 'upload': 900.68797, 'download': 1313.00918, 'respone_time': 2753280, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 807.72161, 'download': 1977.97218, 'respone_time': 2457600, 'server_ip': '10.0.0.3'}
{'ping': '8', 'upload': 734.28728, 'download': 1695.87718, 'respone_time': 2560000, 'server_ip': '10.0.0.3'}
